  264.81651662	 0.186799
  262.27321845	 0.176543
  292.29413139	 0.184042
  272.80611477	 0.131351
  258.17656027	 0.173518
  266.46247535	 0.368686
  264.81651662	 0.218897
  257.87860833	 0.126549
  264.81651662	 0.154702
  256.86357272	 0.160565
  225.27044514	 0.156646
  491.32947977	 3.309856
  241.20748870	 0.194196
  258.17656027	 0.173518
  237.37648062	 0.205531
  262.27321845	 0.176543
  271.50691126	 0.181834
  252.75312714	 0.190494
  252.48917739	 0.177070
  262.27321845	 0.176543
  269.96344998	 0.107404
  255.59707591	 0.148651
  285.62353197	 0.099863
  234.07365574	 0.202572
